ds,country,store,product,y,unique_id
2017-01-01,Argentina,Kaggle Learn,Using LLMs to Improve Your Coding,63.0,Argentina_Kaggle Learn_Using LLMs to Improve Your Coding
2017-01-01,Argentina,Kaggle Learn,Using LLMs to Train More LLMs,66.0,Argentina_Kaggle Learn_Using LLMs to Train More LLMs
2017-01-01,Argentina,Kaggle Learn,Using LLMs to Win Friends and Influence People,9.0,Argentina_Kaggle Learn_Using LLMs to Win Friends and Influence People
2017-01-01,Argentina,Kaggle Learn,Using LLMs to Win More Kaggle Competitions,59.0,Argentina_Kaggle Learn_Using LLMs to Win More Kaggle Competitions
2017-01-01,Argentina,Kaggle Learn,Using LLMs to Write Better,49.0,Argentina_Kaggle Learn_Using LLMs to Write Better
2017-01-01,Argentina,Kaggle Store,Using LLMs to Improve Your Coding,88.0,Argentina_Kaggle Store_Using LLMs to Improve Your Coding
2017-01-01,Argentina,Kaggle Store,Using LLMs to Train More LLMs,98.0,Argentina_Kaggle Store_Using LLMs to Train More LLMs
2017-01-01,Argentina,Kaggle Store,Using LLMs to Win Friends and Influence People,14.0,Argentina_Kaggle Store_Using LLMs to Win Friends and Influence People
2017-01-01,Argentina,Kaggle Store,Using LLMs to Win More Kaggle Competitions,83.0,Argentina_Kaggle Store_Using LLMs to Win More Kaggle Competitions
2017-01-01,Argentina,Kaggle Store,Using LLMs to Write Better,69.0,Argentina_Kaggle Store_Using LLMs to Write Better
2017-01-01,Argentina,Kagglazon,Using LLMs to Improve Your Coding,340.0,Argentina_Kagglazon_Using LLMs to Improve Your Coding
2017-01-01,Argentina,Kagglazon,Using LLMs to Train More LLMs,371.0,Argentina_Kagglazon_Using LLMs to Train More LLMs
2017-01-01,Argentina,Kagglazon,Using LLMs to Win Friends and Influence People,53.0,Argentina_Kagglazon_Using LLMs to Win Friends and Influence People
2017-01-01,Argentina,Kagglazon,Using LLMs to Win More Kaggle Competitions,364.0,Argentina_Kagglazon_Using LLMs to Win More Kaggle Competitions
2017-01-01,Argentina,Kagglazon,Using LLMs to Write Better,285.0,Argentina_Kagglazon_Using LLMs to Write Better
2017-01-01,Canada,Kaggle Learn,Using LLMs to Improve Your Coding,202.0,Canada_Kaggle Learn_Using LLMs to Improve Your Coding
2017-01-01,Canada,Kaggle Learn,Using LLMs to Train More LLMs,199.0,Canada_Kaggle Learn_Using LLMs to Train More LLMs
2017-01-01,Canada,Kaggle Learn,Using LLMs to Win Friends and Influence People,31.0,Canada_Kaggle Learn_Using LLMs to Win Friends and Influence People
2017-01-01,Canada,Kaggle Learn,Using LLMs to Win More Kaggle Competitions,202.0,Canada_Kaggle Learn_Using LLMs to Win More Kaggle Competitions
2017-01-01,Canada,Kaggle Learn,Using LLMs to Write Better,138.0,Canada_Kaggle Learn_Using LLMs to Write Better
2017-01-01,Canada,Kaggle Store,Using LLMs to Improve Your Coding,274.0,Canada_Kaggle Store_Using LLMs to Improve Your Coding
